Theravāda,Theravāda,Theravāda,Mahāsaṁghika,Mahāsaṁghika,Mahāsaṁghika,Mahāsaṁghika,Lokuttaravāda,Lokuttaravāda,Mahīśāsaka,Mahīśāsaka,Dharmaguptaka,Dharmaguptaka,Dharmaguptaka,Dharmaguptaka,Sarvāstivāda,Sarvāstivāda,Sarvāstivāda,Sarvāstivāda,Sarvāstivāda,Mūlasarvāstivāda,Mūlasarvāstivāda,Mūlasarvāstivāda,Mūlasarvāstivāda,Mūlasarvāstivāda,Mūlasarvāstivāda,Mūlasarvāstivāda,Kāśyapīya,Upāliparipṛcchā,Qizil,Bhikkhu Pātimokkha (unknown school)
Pali,Pali,Pali,Chinese,Chinese,Sanskrit,Sanskrit,Sanskrit,Sanskrit,Chinese,Chinese,Chinese,Chinese,Prakrit,Prakrit,Chinese,Chinese,Sanskrit,Sanskrit,Sanskrit,Chinese,Chinese,Sanskrit,Sanskrit,Sanskrit,Tibetan,Tibetan,Chinese,Sanskrit,Sanskrit,Prakrit
Bhikkhunī,Bhikkhu,Kandhaka,Bhikkhunī,Bhikkhu,Bhikkhunī,Bhikkhu,Bhikkhunī,Bhikkhu,Bhikkhunī,Bhikkhu,Bhikkhunī,Bhikkhu,Bhikkhunī,Bhikkhu,Bhikkhunī,Bhikkhu,Bhikkhunī,Bhikkhu,Śikṣamānā,Bhikkhunī,Bhikkhu,Bhikkhunī,Bhikkhu,Kandhaka,Bhikkhunī,Bhikkhu,Bhikkhu,Bhikkhu,Bhikkhu,Bhikkhu
pli-tv-bi,pli-tv-bu,pli-tv-kd,lzh-mg-bi,lzh-mg-bu,san-mg-bi,san-mg-bu,san-lo-bi,san-lo-bu,lzh-mi-bi,lzh-mi-bu,lzh-dg-bi,lzh-dg-bu,pgd-dg-bi,pgd-dg-bu,lzh-sarv-bi,lzh-sarv-bu,san-sarv-bi,san-sarv-bu,san-sarv-sm,lzh-mu-bi,lzh-mu-bu,san-mu-bi,san-mu-bu,san-mu-kd,xct-mu-bi,xct-mu-bu,lzh-ka-bu,lzh-upp-bu,san-bu-pm,pgd-pm-bf13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,pm-ss2; vb-ss2,,,pm-ss2; vb-ss2,,pm-ss2,,pm-ss2,,pm-ss2; vb-ss2,,pm-2-ss2; pm-ss2; vb-ss2,,,,pm-2-ss2; pm-ss2; vb-ss2,,pm-finot-ss2; pm-tf11-ss2,,,pm-ss2; vb-ss2,,pm-gbm2-ss2; pm-gbm3-ss2; pm-mpt-ss2,,,pm-ss2; vb-ss2,pm-ss2,ss2,,
,pm-ss3; vb-ss3,,,pm-ss3; vb-ss3,,pm-ss3,,pm-ss3,,pm-ss3; vb-ss3,,pm-2-ss3; pm-ss3; vb-ss3,,,,pm-2-ss3; pm-ss3; vb-ss3,,pm-finot-ss3; pm-tf11-ss3,,,pm-ss3; vb-ss3,,pm-gbm3-ss3; pm-mpt-ss3,,,pm-ss3; vb-ss3,pm-ss3,ss3,,
,pm-ss4; vb-ss4,,,pm-ss4; vb-ss4,,pm-ss4,,pm-ss4,,pm-ss4; vb-ss4,,pm-2-ss4; pm-ss4; vb-ss4,,,,pm-2-ss4; pm-ss4; vb-ss4,,pm-finot-ss4; pm-tf11-ss4,,,pm-ss4; vb-ss4,,pm-gbm2-ss4; pm-gbm3-ss4; pm-mpt-ss4,,,pm-ss4; vb-ss4,pm-ss4,ss4,,
pm-ss7; vb-ss7,pm-ss5; vb-ss5,,pm-ss1; vb-ss1,pm-ss5; vb-ss5,,pm-ss5,vb-ss1,pm-ss5,pm-ss1; vb-ss1,pm-ss5; vb-ss5,pm-ss1; vb-ss1,pm-2-ss5; pm-ss5; vb-ss5,,,pm-ss1; vb-ss1,pm-2-ss5; pm-ss5; vb-ss5,pm-tf3215-ss1; pm-tf44-ss1,pm-finot-ss5; pm-tf11-ss5,,pm-ss1; vb-ss1,pm-ss5; vb-ss5,,pm-gbm2-ss5; pm-gbm3-ss5; pm-mpt-ss5,,pm-ss1; vb-ss1,pm-ss5; vb-ss5,pm-ss5,ss5,,
,pm-ss6; vb-ss6,,,pm-ss6; vb-ss6,,pm-ss6,,pm-ss6,,pm-ss6; vb-ss6,,pm-2-ss6; pm-ss6; vb-ss6,,,,pm-2-ss6; pm-ss6; vb-ss6,,pm-finot-ss6; pm-tf11-ss6,,,pm-ss6; vb-ss6,,pm-gbm2-ss6; pm-gbm3-ss6; pm-mpt-ss6,,,pm-ss6; vb-ss6,pm-ss6,ss6,qizil-ss6,
,pm-ss7; vb-ss7,,,pm-ss7; vb-ss7,,pm-ss7,,pm-ss7,,pm-ss7; vb-ss7,,pm-2-ss7; pm-ss7; vb-ss7,,,,pm-2-ss7; pm-ss7; vb-ss7,,pm-finot-ss7; pm-tf11-ss7,,,pm-ss7; vb-ss7,,pm-gbm2-ss7; pm-gbm3-ss7; pm-mpt-ss7,,,pm-ss7; vb-ss7,pm-ss7,ss7,qizil-ss7,
pm-ss8; vb-ss8,pm-ss8; vb-ss8,,pm-ss2; vb-ss2,pm-ss8; vb-ss8,,pm-ss8,vb-ss2,pm-ss8,pm-ss2; vb-ss2,pm-ss8; vb-ss8,pm-ss2; vb-ss2,pm-2-ss8; pm-ss8; vb-ss8,,,pm-ss2; vb-ss2,pm-2-ss8; pm-ss8; vb-ss8,pm-tf3215-ss2; pm-tf44-ss2,pm-finot-ss8; pm-tf11-ss8,,pm-ss2; vb-ss2,pm-ss8; vb-ss8,,pm-gbm2-ss8; pm-gbm3-ss8; pm-mpt-ss8,,pm-ss2; vb-ss2,pm-ss8; vb-ss8,pm-ss8,ss8,qizil-ss8,
pm-ss9; vb-ss9,pm-ss9; vb-ss9,,pm-ss3; vb-ss3,pm-ss9; vb-ss9,,pm-ss9,vb-ss3,pm-ss9,pm-ss3; vb-ss3,pm-ss9; vb-ss9,pm-ss3; vb-ss3,pm-2-ss9; pm-ss9; vb-ss9,,,pm-ss3; vb-ss3,pm-2-ss9; pm-ss9; vb-ss9,pm-tf3215-ss3; pm-tf44-ss3,pm-finot-ss9; pm-tf11-ss9,,pm-ss3; vb-ss3,pm-ss9; vb-ss9,,pm-gbm2-ss9; pm-gbm3-ss9; pm-mpt-ss9,,pm-ss3; vb-ss3,pm-ss9; vb-ss9,pm-ss9,ss9,qizil-ss9,
pm-ss14; vb-ss14,pm-ss10; vb-ss10,,pm-ss13; vb-ss13,pm-ss10; vb-ss10,,pm-ss10,vb-ss13,pm-ss10,pm-ss10; vb-ss10,pm-ss10; vb-ss10,pm-ss10; vb-ss10,pm-2-ss10; pm-ss10; vb-ss10,,,pm-ss10; vb-ss10,pm-2-ss10; pm-ss10; vb-ss10,,pm-finot-ss10; pm-tf11-ss10,,pm-ss17; vb-ss17,pm-ss10; vb-ss10,,pm-gbm2-ss10; pm-gbm3-ss10; pm-mpt-ss10,,pm-ss17; vb-ss17,pm-ss10; vb-ss10,pm-ss10,ss10,,
pm-ss15; vb-ss15,pm-ss11; vb-ss11,,pm-ss14; vb-ss14,pm-ss11; vb-ss11,,pm-ss11,vb-ss14,pm-ss11,pm-ss11; vb-ss11,pm-ss11; vb-ss11,pm-ss11; vb-ss11,pm-2-ss11; pm-ss11; vb-ss11,,,pm-ss11; vb-ss11,pm-2-ss11; pm-ss11; vb-ss11,pm-tf3215-ss11; pm-tf44-ss11,pm-finot-ss11; pm-tf11-ss11,,pm-ss18; vb-ss18,pm-ss11; vb-ss11,,pm-gbm2-ss11; pm-gbm3-ss11; pm-mpt-ss11,,pm-ss18; vb-ss18,pm-ss11; vb-ss11,pm-ss11,ss11,,
