Theravāda,Theravāda,Theravāda,Mahāsaṁghika,Mahāsaṁghika,Mahāsaṁghika,Mahāsaṁghika,Lokuttaravāda,Lokuttaravāda,Mahīśāsaka,Mahīśāsaka,Dharmaguptaka,Dharmaguptaka,Dharmaguptaka,Dharmaguptaka,Sarvāstivāda,Sarvāstivāda,Sarvāstivāda,Sarvāstivāda,Sarvāstivāda,Mūlasarvāstivāda,Mūlasarvāstivāda,Mūlasarvāstivāda,Mūlasarvāstivāda,Mūlasarvāstivāda,Mūlasarvāstivāda,Mūlasarvāstivāda,Kāśyapīya,Upāliparipṛcchā,Qizil,Bhikkhu Pātimokkha (unknown school)
Pali,Pali,Pali,Chinese,Chinese,Sanskrit,Sanskrit,Sanskrit,Sanskrit,Chinese,Chinese,Chinese,Chinese,Prakrit,Prakrit,Chinese,Chinese,Sanskrit,Sanskrit,Sanskrit,Chinese,Chinese,Sanskrit,Sanskrit,Sanskrit,Tibetan,Tibetan,Chinese,Sanskrit,Sanskrit,Prakrit
Bhikkhunī,Bhikkhu,Kandhaka,Bhikkhunī,Bhikkhu,Bhikkhunī,Bhikkhu,Bhikkhunī,Bhikkhu,Bhikkhunī,Bhikkhu,Bhikkhunī,Bhikkhu,Bhikkhunī,Bhikkhu,Bhikkhunī,Bhikkhu,Bhikkhunī,Bhikkhu,Śikṣamānā,Bhikkhunī,Bhikkhu,Bhikkhunī,Bhikkhu,Kandhaka,Bhikkhunī,Bhikkhu,Bhikkhu,Bhikkhu,Bhikkhu,Bhikkhu
pli-tv-bi,pli-tv-bu,pli-tv-kd,lzh-mg-bi,lzh-mg-bu,san-mg-bi,san-mg-bu,san-lo-bi,san-lo-bu,lzh-mi-bi,lzh-mi-bu,lzh-dg-bi,lzh-dg-bu,pgd-dg-bi,pgd-dg-bu,lzh-sarv-bi,lzh-sarv-bu,san-sarv-bi,san-sarv-bu,san-sarv-sm,lzh-mu-bi,lzh-mu-bu,san-mu-bi,san-mu-bu,san-mu-kd,xct-mu-bi,xct-mu-bu,lzh-ka-bu,lzh-upp-bu,san-bu-pm,pgd-pm-bf13
pm-ss3~; vb-ss3~,,,pm-ss5~; pm-ss6~; pm-ss9~; vb-ss5~; vb-ss6~; vb-ss9~,,,,vb-ss5~; vb-ss6~; vb-ss9~,,pm-ss6~; vb-ss6~,,pm-ss7~; vb-ss7~,,,,pm-ss6~; vb-ss6~,,pm-tf44-ss6; pm-tf3215-ss6,,,pm-ss6~; pm-ss7~; pm-ss8~; pm-ss9~; vb-ss6~; vb-ss7~; vb-ss8~; vb-ss9~,,,,,pm-ss6~; pm-ss7~; pm-ss8~; pm-ss9~; vb-ss6~; vb-ss7~; vb-ss8~; vb-ss9~,,,,,
pm-ss2; vb-ss2,,,pm-ss8; vb-ss8,,,,vb-ss8,,pm-ss4; vb-ss4,,pm-ss5; vb-ss5,,,,pm-ss8; vb-ss8,,pm-tf44-ss8; pm-tf3215-ss8,,,pm-ss10; vb-ss10,,,,,pm-ss10; vb-ss10,,,,,
pm-ss15; vb-ss15,pm-ss11; vb-ss11,,pm-ss14; vb-ss14,pm-ss11; vb-ss11,,pm-ss11,vb-ss14,pm-ss11,pm-ss11; vb-ss11,pm-ss11; vb-ss11,pm-ss11; vb-ss11,pm-2-ss11; pm-ss11; vb-ss11,,,pm-ss11; vb-ss11,pm-2-ss11; pm-ss11; vb-ss11,pm-tf44-ss11; pm-tf3215-ss11,pm-finot-ss11; pm-tf11-ss11,,pm-ss18; vb-ss18,pm-ss11; vb-ss11,,pm-gbm2-ss11; pm-gbm3-ss11; pm-mpt-ss11,,pm-ss18; vb-ss18,pm-ss11; vb-ss11,pm-ss11,ss11,,
pm-ss16; vb-ss16,pm-ss12; vb-ss12,,pm-ss16; vb-ss16,pm-ss12; vb-ss12,,pm-ss12,vb-ss16,pm-ss12,pm-ss13; vb-ss13,pm-ss12; vb-ss12,pm-ss12; vb-ss12,pm-2-ss13; pm-ss13; vb-ss13,,,pm-ss12; vb-ss12,pm-2-ss13; pm-ss13; vb-ss13,pm-tf44-ss12; pm-tf3215-ss12,pm-finot-ss13; pm-tf11-ss13,,pm-ss19; vb-ss19,pm-ss13; vb-ss13,,pm-gbm2-ss13; pm-gbm3-ss13; pm-mpt-ss13,,pm-ss19; vb-ss19,pm-ss13; vb-ss13,pm-ss13,ss13,,
pm-np17; vb-np17,pm-np7; vb-np7,,pm-np7; vb-np7,pm-np7; vb-np7,,pm-np7,vb-np7,pm-np7,pm-np5; vb-np5,pm-np7; vb-np7,pm-np5; vb-np5,pm-2-np7; pm-np7; vb-np7,,,pm-np5; vb-np5,pm-2-np7; pm-np7; vb-np7,pm-tf44-np5; pm-tf3215-np5,pm-finot-np7; pm-tf11-np7,,pm-np7; vb-np7,pm-np7; vb-np7,,pm-gbm3-np7; pm-mpt-np7,,pm-np7; vb-np7,pm-np7; vb-np7,pm-np7,np7,,np7
pm-np18; vb-np18,pm-np8; vb-np8,,pm-np8; vb-np8,pm-np8; vb-np8,,pm-np8,vb-np8,pm-np8,pm-np6; vb-np6,pm-np8; vb-np8,pm-np6; vb-np6,pm-2-np8; pm-np8; vb-np8,,,pm-np6; vb-np6,pm-2-np8; pm-np8; vb-np8,pm-tf44-np6; pm-tf3215-np6,pm-finot-np8; pm-tf11-np8,,pm-np8; vb-np8,pm-np8; vb-np8,,pm-gbm3-np8; pm-mpt-np8,,pm-np8; vb-np8,pm-np8; vb-np8,pm-np8,np8,,np8
pm-np20; vb-np20,pm-np10; vb-np10,,pm-np10; vb-np10,pm-np10; vb-np10,,pm-np10,vb-np10,pm-np10,pm-np8; vb-np8,pm-np10; vb-np10,pm-np8; vb-np8,pm-2-np10; pm-np10; vb-np10,,,pm-dh-np8; pm-np8; vb-np8,pm-2-np10; pm-np10; vb-np10,pm-tf44-np8; pm-tf3215-np8,pm-finot-np10; pm-tf11-np10,,pm-np10; vb-np10,pm-np10; vb-np10,,pm-gbm3-np10; pm-mpt-np10,,pm-np10; vb-np10,pm-np10; vb-np10,pm-np10,np10,qizil-np10,
pm-pc144; vb-pc144,pm-pc63; vb-pc63,,pm-pc4; vb-pc4,pm-pc4; vb-pc4,,pm-pc4,vb-pc4,pm-pc4,pm-pc5; vb-pc5,pm-pc4; vb-pc4,pm-pc50; vb-pc50,pm-2-pc66; pm-pc66; vb-pc66,,pm-pc66,pm-dh-pc4; pm-pc4; vb-pc4,pm-2-pc4; pm-pc4; vb-pc4,pm-tf44-pc4,pm-finot-pc4; pm-tf11-pc4,,pm-pc4; vb-pc4,pm-pc4; vb-pc4,,pm-gbm3-pc4; pm-mpt-pc4,,pm-pc4; vb-pc4,pm-pc4; vb-pc4,pm-pc4,pc4,,
pm-pc100; vb-pc100,pm-pc4; vb-pc4,,pm-pc6; vb-pc6,pm-pc6; vb-pc6,,pm-pc6,vb-pc6,pm-pc6,pm-pc6; vb-pc6,pm-pc6; vb-pc6,pm-pc6; vb-pc6,pm-2-pc6; pm-pc6; vb-pc6,,,pm-dh-pc6; pm-pc5; vb-pc5,pm-2-pc6; pm-pc6; vb-pc6,pm-tf44-pc5; pm-tf3215-pc5,pm-finot-pc6; pm-tf11-pc6,,pm-pc6; vb-pc6,pm-pc6; vb-pc6,,pm-gbm3-pc6; pm-mpt-pc8,,pm-pc6; vb-pc6,pm-pc6; vb-pc6,pm-pc6,pc6,,
pm-pc104; vb-pc104,pm-pc8; vb-pc8; vb-pj4~,,pm-pc7; vb-pc7,pm-pc7; vb-pc7,,pm-pc7,vb-pc7,pm-pc7,pm-pc8; vb-pc8,pm-pc8; vb-pc8,pm-pc8; vb-pc8,pm-2-pc8; pm-pc8; vb-pc8,,,pm-dh-pc7; pm-pc6; vb-pc6,pm-2-pc7; pm-pc7; vb-pc7,pm-tf44-pc6,pm-finot-pc7; pm-tf11-pc7,,pm-pc8; vb-pc8,pm-pc7; vb-pc7,,pm-gbm3-pc8; pm-mpt-pc6,,pm-pc8; vb-pc8,pm-pc7; vb-pc7,pm-pc7,pc7,,
pm-pc105; vb-pc105,pm-pc9; vb-pc9,,pm-pc8; vb-pc8,pm-pc8; vb-pc8,,pm-pc8,vb-pc8,pm-pc8,pm-pc9; vb-pc9,pm-pc9; vb-pc9,pm-pc7; vb-pc7,pm-2-pc7; pm-pc7; vb-pc7,,,pm-dh-pc8; pm-pc7; vb-pc7,pm-2-pc8; pm-pc8; vb-pc8,pm-tf44-pc7,pm-finot-pc8; pm-tf11-pc8,,pm-pc7; vb-pc7,pm-pc8; vb-pc8,,pm-gbm3-pc7; pm-mpt-pc5,,pm-pc7; vb-pc7,pm-pc8; vb-pc8,pm-pc8,pc8,,
pm-pd7; vb-pd7,,,pm-pd5; vb-pd5,,,,vb-pd5,,pm-pd5; vb-pd5,,pm-pd5; vb-pd5,,,,pm-dh-pd1; pm-pd1; vb-pd1,,pm-tf44-pd1,,,pm-pd1; vb-pd1,,,,,pm-pd1; vb-pd1,,,,,
pm-pd8; vb-pd8,,,pm-pd6; vb-pd6,,,,vb-pd6,,pm-pd6; vb-pd6,,pm-pd6; vb-pd6,,,,pm-dh-pd2; pm-pd2; vb-pd2,,pm-tf44-pd2,,,pm-pd2; vb-pd2,,,,,pm-pd2; vb-pd2,,,,,
pm-pd1; vb-pd1,,,pm-pd1; vb-pd1,,,,vb-pd1,,pm-pd1; vb-pd1,,pm-pd1; vb-pd1,,,,pm-dh-pd3; pm-pd3; vb-pd3,,pm-tf44-pd3,,,pm-pd3; vb-pd3,,,,,pm-pd3; vb-pd3,,,,,
,,,,,,,,,,,,,,,pm-dh-pd4; pm-pd4; vb-pd4,,pm-tf44-pd4,,,pm-pd4; vb-pd4,,,,,pm-pd4; vb-pd4,,,,,
pm-pd2; pm-pd5; vb-pd2; vb-pd5,,,pm-pd2; pm-pd7; vb-pd2; vb-pd7,,,,vb-pd2; vb-pd7,,pm-pd2; pm-pd7; vb-pd2; vb-pd7,,pm-pd2; pm-pd7; vb-pd2; vb-pd7,,,,pm-dh-pd5; pm-dh-pd6; pm-pd5; pm-pd6; vb-pd5; vb-pd6,,pm-tf44-pd6,,,pm-pd5; pm-pd8; vb-pd5; vb-pd8,,,,,pm-pd5; pm-pd8; vb-pd5; vb-pd8,,,,,
pm-pd6; vb-pd6,,,pm-pd8; vb-pd8,,,,vb-pd8,,pm-pd8; vb-pd8,,pm-pd8; vb-pd8,,,,pm-dh-pd7; pm-pd7; vb-pd7,,pm-tf44-pd7,,,pm-pd9; vb-pd9,,,,,pm-pd9; vb-pd9,,,,,
,,,,,,,,,,,,,,,pm-dh-pd8; pm-pd8; vb-pd8,,pm-tf44-pd8,,,pm-pd10; vb-pd10,,,,,pm-pd10; vb-pd10,,,,,
